input,target,llama_output
((5 + 4 + 7 - 6) - (-8 * 0 - 9 + 4)) =,15,
((9 - 6 + -4 + -5) * (4 - -8 + -9 + 0)) =,-18,
((-9 * 6 - -3 * -3) + (-4 - -9 + 4 - -4)) =,-50,"((-9 * 6 - -3 * -3) + (-4 - -9 + 4 - -4)) = 
((-9 * 6 - 9) + (-4 + 9 + 4 + 4)) = 
((-54 - 9) + (13)) = 
(-63 + 13) = 
-50"
((-8 * -8 - -5 * -6) * (3 + -9 - 5 - -1)) =,-340,"((-8 * -8 = 64) - (-5 * -6 = 30) = 64 - 30 = 34) * (3 + -9 = -6, -6 - 5 = -11, -11 - -1 = -10) = 34 * -10 = -340"
((0 + 3 * 4 * 9) - (4 - -5 + -4 - 4)) =,107,
((-4 + -7 - 3 + 3) - (-3 + -2 - -3 * -3)) =,3,
((-7 * -2 * -1 + -9) - (-7 + 5 - 0 * -4)) =,-21,"((-7 * -2 * -1) = (-7 * -2) * -1 = 14 * -1 = -14)
(-14 + -9) = -23
(-7 + 5) = -2
(-2 - 0) = -2
(-23 - (-2)) = -23 + 2 = -21racat 

-21"
((-3 + 2 * -7 * 5) * (-9 - 9 - -9 + -7)) =,1168,"First, calculate the expressions inside the parentheses: 
(-3 + 2 * -7 * 5) = (-3 + 2 * -35) = (-3 - 70) = -73
(-9 - 9 - -9 + -7) = (-9 - 9 + 9 - 7) = -16

Now multiply: 
-73 * -16 = 1168"
((1 + 0 + 2 - 4) + (-9 + 6 * -5 + 8)) =,-32,"((1 + 0 + 2 - 4) = -1 
(-9 + 6 * -5 + 8) = (-9 + -30 + 8) = -31 
-1 + -31 = -32) = -32"
((-3 + -4 * 4 + -8) + (1 - -3 + 4 - -9)) =,-10,
((3 * -7 * -4 * 2) + (7 - -3 - -3 * 1)) =,181,"((3 * -7 * -4 * 2) = (3 * -7 * -8) = (3 * 56) = 168)
((7 - -3 - -3 * 1) = (7 - -3 - -3) = (7 + 3 + 3) = 13)
((3 * -7 * -4 * 2) + (7 - -3 - -3 * 1)) = (168 + 13) = 181"
((-5 * -6 + -9 - 3) + (-7 - -2 - 6 * 6)) =,-23,"((-5 * -6 = 30) + (-9 - 3 = -12) = 30 - 12 = 18) + 
((-7 - -2 = -5) - 6 * 6 = -5 - 36 = -41) = 
18 + (-41) = -23"
((6 - 5 + 5 + -9) - (9 + 8 * -6 * -1)) =,-60,"((6 - 5 + 5 - 9) - (9 + 8 * -6 * -1)) =
((6 - 5 + 5 - 9) - (9 + 8 * 6)) =
((6 - 5 + 5 - 9) - (9 + 48)) =
(6 - 5 + 5 - 9 - 57) =
(1 + 5 - 9 - 57) =
(6 - 9 - 57) =
(-3 - 57) =
-60"
((8 * 3 - -1 - -3) * (-4 * 7 * -3 * 3)) =,7056,"((8 * 3 - -1 - -3) = (24 + 1 + 3) = 28 
(-4 * 7 * -3 * 3) = (-4 * 7 * -9) = (-4 * -63) = 252 
28 * 252 = 7056) 

7056"
((5 + 3 - 6 + 1) + (-5 + 5 - 6 - 4)) =,-7,-7
((-9 + 6 + 1 - 7) * (2 - -2 + -9 + -2)) =,63,"(-9 + 6 + 1 - 7) = -9 
(-9 + 6) = -3 
(-3 + 1) = -2 
(-2 - 7) = -9 

(2 - -2) = 2 + 2 = 4 
(4 + -9) = -5 
(-5 + -2) = -7 

(-9 * -7) = 63"
((1 * 0 - -5 - 3) + (9 * 6 + -4 - 0)) =,52,"((1 * 0 - -5 - 3) = (0 + 5 - 3) = 2 
(9 * 6 + -4 - 0) = (54 - 4 - 0) = 50 
2 + 50 = 52) 

52"
((1 - 2 + 5 * 2) + (-2 - -7 + 3 * -8)) =,-10,"((1 - 2 + 10) + (-2 + 7 - 24)) = 
((9) + (-19)) = 
-10"
((5 + -7 + 1 - 5) - (-3 * -1 * 7 + -1)) =,-26,"((5 + -7 + 1 - 5) = -6 
(-3 * -1 * 7) = -21 
-21 + -1 = -22 
-6 - (-22) = 16) = 16"
((-7 * -2 + -4 + -4) - (9 * 1 * -6 * 6)) =,330,"((-7 * -2) = 14, 
14 + -4 + -4 = 6, 
(9 * 1 * -6 * 6) = -324, 
6 - -324 = 330) 

330"
((1 + 0 - 3 + 0) - (-7 - 9 * 1 + -3)) =,17,"((1 + 0 - 3 + 0) - (-7 - 9 * 1 + -3)) = 
((1 + 0 - 3 + 0) - (-7 - 9 + -3)) = 
((1 + 0 - 3 + 0) - (-7 - 9 - 3)) = 
((1 + 0 - 3 + 0) - (-7 - 12)) = 
((1 + 0 - 3 + 0) - (-19)) = 
(-2 - (-19)) = 
(-2 + 19) = 
17"
((7 * 6 - -2 - 7) * (4 * 5 * -3 + 2)) =,-2146,
((3 * -9 * 3 - 7) - (-9 + 4 * 8 + 2)) =,-113,
((9 + 6 - 9 + 8) * (9 - -9 * -6 + -2)) =,-658,
((5 * 6 + -6 - 8) * (-5 - 6 - 5 - -4)) =,-192,
((5 + 4 - -1 * -1) + (-6 - -7 + -1 * 6)) =,3,
((9 - 5 - 4 + -2) + (-9 + 1 - 1 - 9)) =,-20,
((6 - 9 * -6 - -9) + (3 * 3 + -5 * -9)) =,123,"((6 - 9 * -6 - -9) + (3 * 3 + -5 * -9)) 
= ((6 + 54 + 9) + (9 + 45)) 
= (69 + 54) 
= 123"
((-2 * 5 + -3 + 0) * (-9 + 2 + 5 * 4)) =,-169,"((-2 * 5 + -3 + 0) = (-10 - 3 + 0) = -13
(-9 + 2 + 5 * 4) = (-9 + 2 + 20) = 13
(-13 * 13) = -169"
((5 * -3 * 3 * 7) * (0 + -9 - -5 - -2)) =,630,"(5 * -3 * 3 * 7) = -315 
(0 + -9 - -5 - -2) = -9 + 5 + 2 = -2 
-315 * -2 = 630"
((8 - 3 + 0 + 7) + (-9 * -6 * 2 - 0)) =,120,"((8 - 3 + 0 + 7) + (-9 * -6 * 2 - 0)) = 
((8 - 3 + 0 + 7) + ((-9 * -6) * 2 - 0)) = 
((8 - 3 + 0 + 7) + (54 * 2 - 0)) = 
((8 - 3 + 0 + 7) + (108 - 0)) = 
((8 - 3 + 0 + 7) + 108) = 
(12 + 108) = 
120"
((-2 * 9 * -8 + 8) - (0 * -4 - -6 * 4)) =,128,"((-2 * 9 * -8 + 8) - (0 * -4 - -6 * 4)) = 
((-2 * 9 * -8) + 8) - ((0 * -4) - (-6 * 4)) = 
(144 + 8) - (0 - (-24)) = 
152 - (-24) = 
152 + 24 = 
176"
((-7 * -6 * 0 - 5) * (-3 - 9 * -8 * -9)) =,3255,0
((3 * 8 * -1 * -9) - (-2 + 2 * -8 * 8)) =,346,"(3 * 8 * -1 * -9) = 216, (-2 + 2 * -8 * 8) = -126, 216 - (-126) = 216 + 126 = 342"
((-9 + 5 * 0 - -8) + (6 - -5 * -7 + -8)) =,-38,"(-9 + 0 + 8) + (6 - 35 - 8) = 
-1 - 37 = 
-38"
((-2 - -7 - 5 * 2) + (-3 - 5 * 3 + -7)) =,-30,"(-2 - -7 - 5 * 2) = (-2 + 7 - 10) = -5
(-3 - 5 * 3 + -7) = (-3 - 15 - 7) = -25
-5 + (-25) = -30"
((-9 + -7 + -1 - -1) * (3 - -7 - -1 * 0)) =,-160,"(-9 + -7 + -1 - -1) = -17 - 1 + 1 = -17 
(3 - -7 - -1 * 0) = 3 + 7 - 0 = 10 
-17 * 10 = -170"
((-1 + 6 + 9 + 3) - (-5 - 9 - -3 + 4)) =,24,17
((-7 + 9 * 9 * 6) - (-2 - -5 + 9 + -7)) =,474,"(-7 + 9 * 9 * 6) = (-7 + 486) = 479
(-2 - -5 + 9 + -7) = (-2 + 5 + 9 - 7) = 5
479 - 5 = 474"
((-8 - -7 + 0 + 3) + (-3 + 5 - -5 * -8)) =,-36,"(-8 - -7 + 0 + 3) = -8 + 7 + 0 + 3 = 2
(-3 + 5 - -5 * -8) = -3 + 5 - 5 * 8 = -3 + 5 - 40 = -38
2 + (-38) = -36"
((8 - 4 - -8 - -7) + (6 - 5 - -1 - 4)) =,17,"(8 - 4 + 8 + 7) = 19, (6 - 5 + 1 - 4) = -2, 19 + (-2) = 17"
((-6 * 8 + -6 - -5) + (-4 - 9 * 5 - -1)) =,-97,"((-6 * 8) = -48
(-48 + -6) = -54
(-54 - -5) = -54 + 5 = -49
(-9 * 5) = -45
(-45 - -1) = -45 + 1 = -44
(-44 - 4) = -48
(-49 + -48) = -97"
((5 * -9 - 4 - 4) - (-3 * 2 * 9 + -7)) =,8,"((5 * -9) = -45)
(-45 - 4 - 4) = -53
((-3 * 2) = -6)
((-6 * 9) = -54)
(-54 + -7) = -61
(-53 - (-61)) = 8"
((4 * -9 * 3 * -8) + (-9 - 4 - -9 - -7)) =,867,"((4 * -9 * 3 * -8) = -864, (-9 - 4 - -9 - -7) = -7, so -864 + (-7) = -871) 

-871"
((-7 - 2 - 0 + 2) * (-4 * -5 + -8 + 9)) =,-147,"((-7 - 2 - 0 + 2) = -7 
(-7 * -4 * -5 + -8 + 9) = (-7 * 20 - 8 + 9) 
(-7 * 20) = -140 
(-140 - 8 + 9) = (-140 - 8 + 9) = -139 
(-7 - 2 - 0 + 2) = -7 
(-7 * (-4 * -5 + -8 + 9)) = (-7 * (-20 + -8 + 9)) 
(-20 + -8 + 9) = (-20 - 8 + 9) = -19 
(-7 * -19) = 133 
133"
((-1 + 7 * 7 * -9) * (4 + 3 + -8 * 4)) =,11050,"((-1 + 7 * 7 * -9) * (4 + 3 + -8 * 4)) = 
((-1 + 7 * -63) * (4 + 3 + -32)) = 
((-1 - 441) * (7 - 32)) = 
(-442 * -25) = 
11050"
((7 * 8 + 1 + 3) - (3 + -1 - -9 + -6)) =,55,"((7 * 8) = 56, 
56 + 1 + 3 = 60, 
(3 + -1 - -9 + -6) = 3 - 1 + 9 - 6 = 5, 
60 - 5 = 55) 

55"
((3 + -9 + 8 + -4) * (-4 + -6 - 4 - -8)) =,12,(-2 * -6) = -12
((1 * 5 * -8 - -2) * (-2 * 6 - -5 * 3)) =,-114,"(1 * 5 * -8 - -2) = (1 * 5 * -8 + 2) = (-40 + 2) = -38
(-2 * 6 - -5 * 3) = (-2 * 6 + 5 * 3) = (-12 + 15) = 3
(-38 * 3) = -114"
((-8 - -1 * -8 * -2) * (-6 + 8 + -5 * -8)) =,336,"((-8 - (-8) * (-2) * (-8) does not follow the problem, however, if following order of operations: 
-1 * -8 = 8 
8 * -2 = -16 
-8 - -16 = 8 
Then -6 + 8 = 2 
-5 * -8 = 40 
2 + 40 = 42 
8 * 42 = 336) 

336"
((4 - -6 + -9 + -7) - (9 + -3 - -7 * -8)) =,44,"((4 + 6 - 9 - 7) - (9 - 3 - 56)) = 
((1) - (-50)) = 
1 + 50 = 
51"
((0 * -7 - 6 * 3) * (-9 + -5 - 2 * -1)) =,216,"((0 * -7 - 6 * 3) = (0 + (-18)) = -18 
((-9 + -5 - 2 * -1)) = (-9 + -5 -(-2)) = (-9 + -5 + 2) = -12 
(-18 * -12) = 216"
((-8 * 1 * -1 + -5) + (-2 - -3 + 1 * -7)) =,-3,"(-8 * 1 * -1 = 8)
(8 + -5 = 3)
(-2 - -3 = -2 + 3 = 1)
(1 * -7 = -7)
(1 + -7 = -6)
(3 + -6 = -3) 

-3"
((8 - -9 * 4 * 9) * (-4 * -3 * 7 * 9)) =,250992,"((8 - (-9 * 4 * 9)) * (-4 * -3 * 7 * 9)) 
= ((8 - (-9 * 36)) * (-4 * -3 * 7 * 9)) 
= ((8 - (-324)) * (-4 * -3 * 7 * 9)) 
= ((8 + 324) * (-4 * -3 * 7 * 9)) 
= (332 * (-4 * -3 * 7 * 9)) 
= (332 * (12 * 7 * 9)) 
= (332 * (12 * 63)) 
= (332 * 756) 
= 250752"
((1 * -9 - 4 + -9) + (-1 + -6 + 9 - 5)) =,-25,-25
((-1 + 2 - 9 + 0) * (0 - -2 + -6 - 2)) =,48,(-8) * (-6) = 48
((7 * -5 * -9 + 7) - (2 + -8 * 6 * 3)) =,464,"((7 * -5 * -9 = 315) 
(315 + 7 = 322) 
(-8 * 6 * 3 = -144) 
(2 + -144 = -142) 
(322 - (-142) = 464)) 

464"
((-5 + -8 - -6 * 7) + (9 * -7 - -5 - -4)) =,-25,"(-5 + -8 - -6 * 7) = -5 - 8 + 42 = 29
(9 * -7 - -5 - -4) = -63 + 5 + 4 = -54
29 + (-54) = -25"
((-6 * 9 - -5 + 8) * (-8 * -6 - -1 * 0)) =,-1968,"(-6 * 9 - -5 + 8) = (-54 + 5 + 8) = -41
(-8 * -6 - -1 * 0) = (48 - 0) = 48
(-41 * 48) = -1968"
((5 - -2 * 7 + -2) - (0 * 9 * -6 - -7)) =,10,"((5 - (-2 * 7) + (-2)) - (0 * 9 * (-6) - (-7))) =
((5 - (-14) + (-2)) - (0 * 9 * (-6) - (-7))) =
((5 + 14 - 2) - (0 * (-54) - (-7))) =
((17) - (0 - (-7))) =
(17 - 7) =
10"
